ShelfLocationID	OrganizationID	Description
1	3	1st Floor
2	3	1st Floor-Reference
3	3	1st Floor-Kentucky Room
4	3	2nd Floor
5	3	"2nd Floor-Childrens' Area"
13	3	1st Floor Wall 1
14	3	1st Floor Wall 2
15	3	1st Floor Wall 3
16	3	1st Floor Wall 4
17	3	1st Floor Wall 5
18	3	1st Floor Wall 6
19	3	1st Floor Wall 7
20	3	1st Floor Wall 8
21	3	1st Floor Wall 9
29	3	2nd Floor Wall 2
30	3	2nd Floor Wall 3
31	3	2nd Floor Wall 4
32	3	2nd Floor Wall 5
33	3	2nd Floor Wall 6
34	3	2nd Floor Wall 7
35	3	2nd Floor Wall 8
36	3	2nd Floor Wall 9
67	3	Online Resource
73	3	2nd Floor Reference
76	3	KR Storage
77	3	"Librarian's Office"
78	3	2nd Floor-Office
79	3	2nd Floor Young Adult
